Source,Target,weight,distance_km,Site1_Time,Site2_Time,lat,long,Time,group
Fouts Village,Buckeye Bend,1,69,Pre-Migration,Pre-Migration,40.36367175,-90.09937654,1,Mississippian
Myer-Dickson,Buckeye Bend,1,58,Pre-Migration,Pre-Migration,40.35062467,-90.11864358,1,Mississippian
Walsh,Buckeye Bend,0.995172889,56,Pre-Migration,Pre-Migration,39.84572853,-90.6488686,1,Mississippian
Houston Shryock,Buckeye Bend,0.984086965,28,Pre-Migration,Pre-Migration,40.52620698,-89.87942524,1,Mississippian
Orendorf C,Larson,0.950817519,19,Pre-Migration,Pre-Migration,40.48685729,-89.94891242,1,Mississippian
Larson,Buckeye Bend,0.948521877,49,Pre-Migration,Pre-Migration,40.34151532,-90.13555879,1,Mississippian
Lawrenz Gun Club,Buckeye Bend,0.924211515,29,Pre-Migration,Pre-Migration,40.05832232,-90.32909375,1,Mississippian
Emmons Village,Buckeye Bend,0.857898744,12,Pre-Migration,Pre-Migration,40.21173691,-90.20484382,1,Mississippian
Kingston Lake,Larson,0.850458817,35,Pre-Migration,Pre-Migration,40.55446882,-89.7487302,1,Mississippian
Orendorf C,Orendorf D,0.843728181,0,Pre-Migration,Pre-Migration,40.48685729,-89.94891242,1,Mississippian
Houston Shryock,Larson,0.841542103,26,Pre-Migration,Pre-Migration,40.52620698,-89.87942524,1,Mississippian
Buckeye Bend,Fouts Village,0.829334253,69,Pre-Migration,Pre-Migration,40.35347896,-90.20106751,1,Mississippian
Walsh,Fouts Village,0.826580715,62,Pre-Migration,Pre-Migration,39.84572853,-90.6488686,1,Mississippian
Orendorf C,Kingston Lake,0.824242993,14,Pre-Migration,Pre-Migration,40.48685729,-89.94891242,1,Mississippian
Orendorf D,Larson,0.816409564,19,Pre-Migration,Pre-Migration,40.48685729,-89.94891242,1,Mississippian
Emmons Village,Larson,0.815892187,12,Pre-Migration,Pre-Migration,40.21173691,-90.20484382,1,Mississippian
Fouts Village,Walsh,0.809641751,62,Pre-Migration,Pre-Migration,40.36367175,-90.09937654,1,Mississippian
Fouts Village,Larson,0.794717887,34,Pre-Migration,Pre-Migration,40.36367175,-90.09937654,1,Mississippian
Lawrenz Gun Club,Larson,0.794710152,30,Pre-Migration,Pre-Migration,40.05832232,-90.32909375,1,Mississippian
Houston Shryock,Fouts Village,0.788077644,22,Pre-Migration,Pre-Migration,40.52620698,-89.87942524,1,Mississippian
Myer-Dickson,Larson,0.785557982,15,Pre-Migration,Pre-Migration,40.35062467,-90.11864358,1,Mississippian
Walsh,Larson,0.781061042,59,Pre-Migration,Pre-Migration,39.84572853,-90.6488686,1,Mississippian
Fouts Village,Houston Shryock,0.758366504,22,Pre-Migration,Pre-Migration,40.36367175,-90.09937654,1,Mississippian
Fouts Village,Myer-Dickson,0.753180529,15,Pre-Migration,Pre-Migration,40.36367175,-90.09937654,1,Mississippian
Orendorf D,Kingston Lake,0.744750376,14,Pre-Migration,Pre-Migration,40.48685729,-89.94891242,1,Mississippian
Fouts Village,Lawrenz Gun Club,0.739495798,33,Pre-Migration,Pre-Migration,40.36367175,-90.09937654,1,Mississippian
Buckeye Bend,Larson,0.738301117,49,Pre-Migration,Pre-Migration,40.35347896,-90.20106751,1,Mississippian
Kingston Lake,Buckeye Bend,0.730180173,38,Pre-Migration,Pre-Migration,40.55446882,-89.7487302,1,Mississippian
Houston Shryock,Lawrenz Gun Club,0.702892941,54,Pre-Migration,Pre-Migration,40.52620698,-89.87942524,1,Mississippian
Myer-Dickson,Fouts Village,0.690985676,15,Pre-Migration,Pre-Migration,40.35062467,-90.11864358,1,Mississippian
Kingston Lake,Orendorf D,0.690976718,14,Pre-Migration,Pre-Migration,40.55446882,-89.7487302,1,Mississippian
Buckeye Bend,Walsh,0.676870095,56,Pre-Migration,Pre-Migration,40.35347896,-90.20106751,1,Mississippian
Walsh,Myer-Dickson,0.673541858,61,Pre-Migration,Pre-Migration,39.84572853,-90.6488686,1,Mississippian
Walsh,Lawrenz Gun Club,0.657949957,30,Pre-Migration,Pre-Migration,39.84572853,-90.6488686,1,Mississippian
Houston Shryock,Walsh,0.630729564,3,Pre-Migration,Pre-Migration,40.52620698,-89.87942524,1,Mississippian
Walsh,Houston Shryock,0.627964347,3,Pre-Migration,Pre-Migration,39.84572853,-90.6488686,1,Mississippian
Orendorf D,Orendorf C,0.620966853,0,Pre-Migration,Pre-Migration,40.48685729,-89.94891242,1,Mississippian
Orendorf C,Buckeye Bend,0.614965206,22,Pre-Migration,Pre-Migration,40.48685729,-89.94891242,1,Mississippian
Buckeye Bend,Lawrenz Gun Club,0.606116128,29,Pre-Migration,Pre-Migration,40.35347896,-90.20106751,1,Mississippian
Orendorf D,Myer-Dickson,0.605294113,17,Pre-Migration,Pre-Migration,40.48685729,-89.94891242,1,Mississippian
Buckeye Bend,Myer-Dickson,0.59807255,58,Pre-Migration,Pre-Migration,40.35347896,-90.20106751,1,Mississippian
Fouts Village,Emmons Village,0.594095533,14,Pre-Migration,Pre-Migration,40.36367175,-90.09937654,1,Mississippian
Myer-Dickson,Walsh,0.592561834,61,Pre-Migration,Pre-Migration,40.35062467,-90.11864358,1,Mississippian
Orendorf C,Lawrenz Gun Club,0.5915107,47,Pre-Migration,Pre-Migration,40.48685729,-89.94891242,1,Mississippian
Lawrenz Gun Club,Fouts Village,0.589154424,33,Pre-Migration,Pre-Migration,40.05832232,-90.32909375,1,Mississippian
Fouts Village,Kingston Lake,0.57573847,31,Pre-Migration,Pre-Migration,40.36367175,-90.09937654,1,Mississippian
Orendorf C,Myer-Dickson,0.574222558,17,Pre-Migration,Pre-Migration,40.48685729,-89.94891242,1,Mississippian
Emmons Village,Myer-Dickson,0.567912659,13,Pre-Migration,Pre-Migration,40.21173691,-90.20484382,1,Mississippian
Buckeye Bend,Houston Shryock,0.560710328,28,Pre-Migration,Pre-Migration,40.35347896,-90.20106751,1,Mississippian
Emmons Village,Lawrenz Gun Club,0.557996625,16,Pre-Migration,Pre-Migration,40.21173691,-90.20484382,1,Mississippian
Lawrenz Gun Club,Houston Shryock,0.54261026,54,Pre-Migration,Pre-Migration,40.05832232,-90.32909375,1,Mississippian
Houston Shryock,Kingston Lake,0.541298329,6,Pre-Migration,Pre-Migration,40.52620698,-89.87942524,1,Mississippian
Orendorf D,Lawrenz Gun Club,0.540375959,47,Pre-Migration,Pre-Migration,40.48685729,-89.94891242,1,Mississippian
Kingston Lake,Lawrenz Gun Club,0.537694429,62,Pre-Migration,Pre-Migration,40.55446882,-89.7487302,1,Mississippian
Houston Shryock,Myer-Dickson,0.53351738,24,Pre-Migration,Pre-Migration,40.52620698,-89.87942524,1,Mississippian
Myer-Dickson,Lawrenz Gun Club,0.531918633,31,Pre-Migration,Pre-Migration,40.35062467,-90.11864358,1,Mississippian
Walsh,Emmons Village,0.521546819,45,Pre-Migration,Pre-Migration,39.84572853,-90.6488686,1,Mississippian
Orendorf D,Buckeye Bend,0.517340296,22,Pre-Migration,Pre-Migration,40.48685729,-89.94891242,1,Mississippian
Larson,Lawrenz Gun Club,0.516655738,30,Pre-Migration,Pre-Migration,40.34151532,-90.13555879,1,Mississippian
Lawrenz Gun Club,Walsh,0.508499476,30,Pre-Migration,Pre-Migration,40.05832232,-90.32909375,1,Mississippian
Lawrenz Gun Club,Kingston Lake,0.504728482,62,Pre-Migration,Pre-Migration,40.05832232,-90.32909375,1,Mississippian
Emmons Village,Kingston Lake,0.504492573,43,Pre-Migration,Pre-Migration,40.21173691,-90.20484382,1,Mississippian
Larson,Orendorf D,0.503098616,19,Pre-Migration,Pre-Migration,40.34151532,-90.13555879,1,Mississippian
