Unique,Site,MaxDiameter,FlareLength,RimThick,ThickBelowFlare,FlareAngle,MaxIncising,MaxTrailing
48,Orendorf C,32,44.1,6.4,5,135,NA,4.3
49,Orendorf C,25,44.6,5.9,7.7,153,1,NA
50,Orendorf C,33,37.6,7.4,4.3,156,NA,3.6
51,Orendorf C,32,30,6.6,5.6,155,NA,NA
52,Orendorf C,45,29.4,10.2,8.2,164,NA,NA
53,Orendorf C,32,19.1,5,4.7,152,NA,NA
54,Orendorf C,NA,20.7,5.5,5.2,165,NA,NA
55,Orendorf C,30,34.5,5.5,6.1,158,NA,4.9
56,Orendorf C,32,51,6.2,5,144,NA,NA
57,Orendorf C,NA,31.5,5.5,5.6,NA,NA,NA
58,Orendorf C,NA,31.9,5.4,7.1,NA,NA,2.7
59,Orendorf C,NA,42.8,5.5,6.7,NA,NA,NA
60,Orendorf C,37,60.3,5.7,NA,143,1.6,NA
61,Orendorf C,NA,42.9,6,5,147,NA,2.6
62,Orendorf C,36,31,4,5.2,156,NA,3.7
63,Orendorf C,26,22.5,6.5,6,163,NA,NA
64,Orendorf C,33,25.2,5.9,7.4,146,NA,NA
65,Orendorf C,NA,14.8,4.8,6.2,NA,1.3,NA
66,Orendorf C,32,45.2,5,4.9,162,NA,NA
67,Orendorf C,37,30.5,10.2,6.4,155,NA,NA
68,Orendorf C,NA,NA,NA,5.7,NA,1.4,NA
69,Orendorf C,NA,19.6,3.8,3.9,152,NA,NA
70,Orendorf C,29,40.2,4.7,4.8,148,NA,3.8
71,Orendorf C,NA,NA,3.6,NA,NA,NA,1.7
72,Orendorf C,32,29,7.2,7.4,158,NA,NA
73,Orendorf C,NA,NA,5.7,NA,NA,0.8,NA
74,Orendorf C,NA,NA,4.4,NA,NA,1.2,NA
75,Orendorf C,NA,NA,5.7,NA,NA,NA,2.5
76,Orendorf C,NA,NA,6,NA,NA,1.6,NA
77,Orendorf C,NA,NA,6.2,NA,NA,NA,2.2
78,Orendorf C,34,29.7,6.2,4.7,161,NA,NA
79,Orendorf C,33,45.5,7.3,NA,NA,1.5,NA
122,Crable,32,39.5,8,9.9,148,NA,5.4
123,Crable,NA,92,5.4,NA,NA,1,NA
124,Crable,NA,NA,6.5,NA,NA,0.8,NA
125,Crable,29,40,6.2,NA,NA,0.6,NA
126,Crable,34,NA,6.8,NA,NA,1,NA
127,Crable,NA,NA,8.4,NA,NA,1.6,NA
128,Crable,24,78.4,6.6,6.3,130,0.8,NA
129,Crable,NA,62.1,6.6,NA,NA,1.3,NA
130,Crable,NA,NA,5.5,NA,NA,1.2,NA
131,Crable,NA,73.2,7.2,NA,149,1.3,NA
132,Crable,31,NA,5.9,NA,NA,1.3,NA
133,Crable,NA,55.8,5.3,6.3,140,1,NA
134,Crable,NA,63.8,5.6,NA,138,0.8,NA
135,Crable,25,63.5,6,7.5,148,1.3,NA
136,Crable,29,81,6.2,NA,136,1.1,NA
137,Crable,NA,NA,5.1,NA,NA,NA,2.1
138,Crable,29,75.6,7.3,NA,138,0.7,NA
139,Crable,28,35.9,6.1,7.2,148,1.7,NA
140,Crable,NA,42,6,3.8,NA,0.7,NA
141,Crable,NA,78.6,6.1,NA,140,1.6,NA
142,Crable,20,50.8,6.3,6.1,143,1,NA
143,Crable,27,75.8,6.2,NA,NA,0.6,NA
144,Crable,NA,NA,6.6,NA,NA,1.3,NA
145,Crable,22,51.4,6.1,NA,NA,0.9,NA
146,Crable,NA,80.5,5.9,7.9,NA,2.7,NA
147,Crable,24,43.5,6.5,7.2,NA,NA,2.6
148,Crable,34,NA,6.3,NA,NA,1.2,NA
149,Crable,NA,51.4,7.1,5.4,NA,1.2,NA
150,Crable,NA,98.3,7,NA,NA,1.5,NA
151,Crable,NA,NA,6.8,NA,NA,1.3,NA
152,Crable,NA,102.8,6.5,5.5,NA,1.6,NA
153,Crable,NA,71.2,7,NA,NA,1.1,NA
154,Crable,NA,61.3,4.7,7.7,134,0.8,NA
155,Crable,29,91.3,9.8,7.4,NA,1,NA
156,Crable,NA,50.1,7.4,6.2,135,NA,1.6
157,Crable,21,65.3,6,NA,NA,1,NA
158,Crable,23,41.8,5.6,5.4,NA,0.9,NA
159,Crable,NA,57,6.4,7.6,NA,1.2,NA
160,Crable,24,66.8,6,5.9,NA,0.9,NA
161,Crable,NA,68.4,6.9,NA,NA,0.9,NA
162,Crable,31,NA,9.5,NA,NA,1.3,NA
163,Crable,28,73.5,5.8,7.3,NA,1.2,NA
164,Crable,28,NA,6.8,NA,NA,0.7,NA
165,Crable,33,NA,8.2,NA,NA,NA,1.5
166,Crable,NA,NA,8,NA,NA,1,NA
167,Crable,30,80.2,6.5,4.8,NA,1.3,NA
168,Crable,26,41.6,7,8.2,NA,2.1,NA
169,Crable,36,99.3,7.5,7.7,150,1,NA
170,Crable,NA,98,7,7,NA,1.8,NA
171,Crable,29,67.3,6.4,NA,NA,1.9,NA
172,Crable,17,64.5,5.8,NA,129,1,NA
173,Crable,31,NA,9.6,NA,NA,1.2,NA
174,Crable,36,110.7,8.4,NA,NA,1.4,NA
175,Crable,31,99.7,6,7.4,144,NA,1.4
176,Crable,NA,NA,8,NA,NA,0.9,0
177,Crable,27,79.4,7.7,NA,132,0.9,NA
178,Crable,23,72.3,5.4,NA,136,1,NA
179,Crable,28,66.2,6.8,NA,140,1.2,NA
180,Crable,24,60.6,6.1,NA,142,0.8,NA
181,Crable,22,72,7.3,NA,130,NA,NA
